Sujet,Verbe,Complément
Un chat géant,danse,sur un volcan endormi
Ma grand-mère,construit,un robot de cuisine spatial
Un astronaute perdu,invente,une soupe aux étoiles
Le président du club de tricot,parle,à une girafe polie
Une sorcière distraite,transforme,un autobus en citrouille
Un pirate borgne,cherche,des chaussettes propres
Le professeur de maths,explique,les secrets des dauphins
Un dragon enrhumé,souffle,sur une tasse de chocolat chaud
La boulangère du village,cache,des lingots dans les baguettes
Un chien philosophe,récite,des poèmes à la lune
Une mouche hyperactive,compose,une symphonie pour orchestre
Un vampire végétarien,mange,des carottes fluorescentes
Le facteur du futur,livre,des colis invisibles
Une princesse têtue,grimpe,sur un gratte-ciel en carton
Un fantôme maladroit,renverse,une marmite de confiture
Le roi des sushis,organise,une course de tortues
Un singe en smoking,dirige,un orchestre de casseroles
Une grenouille savante,discute,avec des fourmis révolutionnaires
Le pilote d’avion,oublie,son manuel de magie
Un robot poète,rêve,d’un monde sans prises électriques